BEGIN
                 fact_ref                 |      kind       |                                 file                                 | line |               symbol_name               |    class_name    |   caller_class   |               caller_name               |                 method                  |                                                                                                                      description                                                                                                                       |          run_id          
 2e64da55458c8aba1cf25ef3741abee8258eb8c1 | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  241 | createAccess                            |                  | OSKAccessService | createAccess                            |                                         | call_expression in core/access: createAccess -- inside: OSKAccessService -- calls: OSKPincodeService.addPincodeDocumentsToNonAppUserAccess (functions/src/modules/core/modules/access/services/access.service.ts:241)                                  | 20260911_080454-00e1d9fd
 32ae6c371d1554b72122a03b5907480f6ac9fe67 | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  556 | deleteAccessById                        |                  | OSKAccessService | deleteAccessById                        |                                         | call_expression in core/access: deleteAccessById -- inside: OSKAccessService -- calls: OSKAccessService._removeAccessIdFromUserInvitations (functions/src/modules/core/modules/access/services/access.service.ts:556)                                  | 20260911_080454-00e1d9fd
 32c90767b9cb8e6b1dfe384653db3d3e7b24244f | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  446 | updateAccess                            |                  | OSKAccessService | updateAccess                            |                                         | call_expression in core/access: updateAccess -- inside: OSKAccessService -- calls: OSKAccessUtilsService.checkIsMainAccess (functions/src/modules/core/modules/access/services/access.service.ts:446)                                                  | 20260911_080454-00e1d9fd
 3601ac8189e0cf8806335f82df75176871892129 | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  671 | _updateAccessRights                     |                  | OSKAccessService | _updateAccessRights                     |                                         | call_expression in core/access: _updateAccessRights -- inside: OSKAccessService -- calls: areTypeOSKPermanentAccessRight (functions/src/modules/core/modules/access/services/access.service.ts:671)                                                    | 20260911_080454-00e1d9fd
 38243fd77272e0da02a528b6ad0394cadcde3889 | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  691 | _updateAccessRights                     |                  | OSKAccessService | _updateAccessRights                     |                                         | call_expression in core/access: _updateAccessRights -- inside: OSKAccessService -- calls: areTypeOSKOneTimeAccessRight (functions/src/modules/core/modules/access/services/access.service.ts:691)                                                      | 20260911_080454-00e1d9fd
 38d075462e473edb9f2a5c7030d2aca10bc87488 | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  141 | createAccess                            |                  | OSKAccessService | createAccess                            |                                         | call_expression in core/access: createAccess -- inside: OSKAccessService -- calls: OSKBuildingController.default.getSafe (functions/src/modules/core/modules/access/services/access.service.ts:141)                                                    | 20260911_080454-00e1d9fd
 3ab83d8de01b0829929dabad8adba28cb8a6a839 | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  722 | _getAvailableDoors                      |                  | OSKAccessService | _getAvailableDoors                      |                                         | call_expression in core/access: _getAvailableDoors -- inside: OSKAccessService -- calls: resolvedBuildingDoors.filter (functions/src/modules/core/modules/access/services/access.service.ts:722)                                                       | 20260911_080454-00e1d9fd
 3e72a433472dfed8a739f9b252b0fdb882bc4cb0 | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  361 | updateAccess                            |                  | OSKAccessService | updateAccess                            |                                         | call_expression in core/access: updateAccess -- inside: OSKAccessService -- calls: OSKAccessService.logger.logError (functions/src/modules/core/modules/access/services/access.service.ts:361)                                                         | 20260911_080454-00e1d9fd
 4020b962f67f7c772939089d49edb342b5b00e39 | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  298 | createAccess                            |                  | OSKAccessService | createAccess                            |                                         | call_expression in core/access: createAccess -- inside: OSKAccessService -- calls: OSKAccessUtilsService.setupAccess (functions/src/modules/core/modules/access/services/access.service.ts:298)                                                        | 20260911_080454-00e1d9fd
 40501c8d434fae22b0f0849b2cc3f40bb04da4ab | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  232 | createAccess                            |                  | OSKAccessService | createAccess                            |                                         | call_expression in core/access: createAccess -- inside: OSKAccessService -- calls: log (functions/src/modules/core/modules/access/services/access.service.ts:232)                                                                                      | 20260911_080454-00e1d9fd
 40cfc52431e3192a67998bbbc1ead0c02eb27b68 | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  536 | deleteAccessById                        |                  | OSKAccessService | deleteAccessById                        |                                         | call_expression in core/access: deleteAccessById -- inside: OSKAccessService -- calls: OSKBuildingUnitInhabitantController.default.update (functions/src/modules/core/modules/access/services/access.service.ts:536)                                   | 20260911_080454-00e1d9fd
 451ecc23c7b09698bceabf936582338afb7573fe | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  774 | _removeAccessIdFromUserInvitations      |                  | OSKAccessService | _removeAccessIdFromUserInvitations      |                                         | call_expression in core/access: _removeAccessIdFromUserInvitations -- inside: OSKAccessService -- calls: OSKUserSentInvitationController.update (functions/src/modules/core/modules/access/services/access.service.ts:774)                             | 20260911_080454-00e1d9fd
 4623d6b83b21b58e273760758d841a947e99718b | service_method  | functions/src/modules/core/modules/access/services/access.service.ts |  731 | _removeAccessIdFromUserInvitations      | OSKAccessService |                  |                                         | _removeAccessIdFromUserInvitations      | service_method in core/access: _removeAccessIdFromUserInvitations (functions/src/modules/core/modules/access/services/access.service.ts:731)                                                                                                           | 20260911_080454-00e1d9fd
 46aac77a523648c5c6a5d9d10463286ba526c3e5 | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  416 | updateAccess                            |                  | OSKAccessService | updateAccess                            |                                         | call_expression in core/access: updateAccess -- inside: OSKAccessService -- calls: OSKAccessService.logger.logError (functions/src/modules/core/modules/access/services/access.service.ts:416)                                                         | 20260911_080454-00e1d9fd
 48aec6fcb6a27fa61f432c1b4488a4dbd8c690f3 | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  433 | updateAccess                            |                  | OSKAccessService | updateAccess                            |                                         | call_expression in core/access: updateAccess -- inside: OSKAccessService -- calls: OSKUserDeviceService.createAccessDeviceToken (functions/src/modules/core/modules/access/services/access.service.ts:433)                                             | 20260911_080454-00e1d9fd
 492c795a4c9aca313f3968d90eb30d40e0567590 | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  550 | deleteAccessById                        |                  | OSKAccessService | deleteAccessById                        |                                         | call_expression in core/access: deleteAccessById -- inside: OSKAccessService -- calls: OSKUserPincodeController.default.delete (functions/src/modules/core/modules/access/services/access.service.ts:550)                                              | 20260911_080454-00e1d9fd
 4be37668329dbed99e4485dd5d6dfb72fe7fabda | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  128 | createAccess                            |                  | OSKAccessService | createAccess                            |                                         | call_expression in core/access: createAccess -- inside: OSKAccessService -- calls: OSKAccessService.logger.logInfo (functions/src/modules/core/modules/access/services/access.service.ts:128)                                                          | 20260911_080454-00e1d9fd
 4de99bba15b5cbca0f0457c0fe80258c505a5dee | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  547 | deleteAccessById                        |                  | OSKAccessService | deleteAccessById                        |                                         | call_expression in core/access: deleteAccessById -- inside: OSKAccessService -- calls: OSKUserPincodeController.default.getByAccessId (functions/src/modules/core/modules/access/services/access.service.ts:547)                                       | 20260911_080454-00e1d9fd
 50e7a3ff607be4aa1b87badd760052c4494218cc | service_method  | functions/src/modules/core/modules/access/services/access.service.ts |  347 | updateAccess                            | OSKAccessService |                  |                                         | updateAccess                            | service_method in core/access: updateAccess -- returns: Promise<OSKUserAccessesDocument | null> (functions/src/modules/core/modules/access/services/access.service.ts:347)                                                                             | 20260911_080454-00e1d9fd
 51a9ec6ce3f76856dee77d69bb0441ebf86a0098 | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  456 | updateAccess                            |                  | OSKAccessService | updateAccess                            |                                         | call_expression in core/access: updateAccess -- inside: OSKAccessService -- calls: OSKUserAccessesController.default.save (functions/src/modules/core/modules/access/services/access.service.ts:456)                                                   | 20260911_080454-00e1d9fd
 5327549989027a53caafe3feab0acd45b78386d8 | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  306 | createAccess                            |                  | OSKAccessService | createAccess                            |                                         | call_expression in core/access: createAccess -- inside: OSKAccessService -- calls: isTypeAccessUser (functions/src/modules/core/modules/access/services/access.service.ts:306)                                                                         | 20260911_080454-00e1d9fd
 541f9a5f6d4c556411822a30d9540ff9b9ad83fe | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  359 | updateAccess                            |                  | OSKAccessService | updateAccess                            |                                         | call_expression in core/access: updateAccess -- inside: OSKAccessService -- calls: OSKUserAccessesController.default.getPerBuilding (functions/src/modules/core/modules/access/services/access.service.ts:359)                                         | 20260911_080454-00e1d9fd
 5a97ea97527a06b1b5ece71627d58648bf55d383 | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  413 | updateAccess                            |                  | OSKAccessService | updateAccess                            |                                         | call_expression in core/access: updateAccess -- inside: OSKAccessService -- calls: OSKAccessService._updateAccessRights (functions/src/modules/core/modules/access/services/access.service.ts:413)                                                     | 20260911_080454-00e1d9fd
 5ab8b4bac8803dab96b32b88e8e336e738f04e73 | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  210 | createAccess                            |                  | OSKAccessService | createAccess                            |                                         | call_expression in core/access: createAccess -- inside: OSKAccessService -- calls: OSKAccessService.logger.logInfo (functions/src/modules/core/modules/access/services/access.service.ts:210)                                                          | 20260911_080454-00e1d9fd
 5c1e478308846094260aa37a639a99154e6c05f0 | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  533 | deleteAccessById                        |                  | OSKAccessService | deleteAccessById                        |                                         | call_expression in core/access: deleteAccessById -- inside: OSKAccessService -- calls: OSKBuildingUnitInhabitantController.default.get (functions/src/modules/core/modules/access/services/access.service.ts:533)                                      | 20260911_080454-00e1d9fd
 5c88fd6c62422fc90a711d6f686ff798169b12b0 | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  120 | createAccess                            |                  | OSKAccessService | createAccess                            |                                         | call_expression in core/access: createAccess -- inside: OSKAccessService -- calls: OSKAccessService.logger.logDebug (functions/src/modules/core/modules/access/services/access.service.ts:120)                                                         | 20260911_080454-00e1d9fd
 5ee3b93fc2673e1c7c8bda2d1eb6091cced628c7 | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  123 | createAccess                            |                  | OSKAccessService | createAccess                            |                                         | call_expression in core/access: createAccess -- inside: OSKAccessService -- calls: JSON.stringify (functions/src/modules/core/modules/access/services/access.service.ts:123)                                                                           | 20260911_080454-00e1d9fd
 625a5d220342af4d92cc0e30292b0c1caeef2348 | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  603 | _getAuthorizedDoorsAndCreateToken       |                  | OSKAccessService | _getAuthorizedDoorsAndCreateToken       |                                         | call_expression in core/access: _getAuthorizedDoorsAndCreateToken -- inside: OSKAccessService -- calls: buildingDoors.map (functions/src/modules/core/modules/access/services/access.service.ts:603)                                                   | 20260911_080454-00e1d9fd
 6317ba6a90362c47581fb45b51040c409770a424 | service_method  | functions/src/modules/core/modules/access/services/access.service.ts |   91 | getAllUserAccessesPerBuilding           | OSKAccessService |                  |                                         | getAllUserAccessesPerBuilding           | service_method in core/access: getAllUserAccessesPerBuilding -- returns: Promise<OSKHttpsSuccessResponse<OSKUserAccessesDocument>> (functions/src/modules/core/modules/access/services/access.service.ts:91)                                           | 20260911_080454-00e1d9fd
 652f927a1293ad4ff29c62720fc25cca4691279b | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  661 | _getAuthorizedDoorsForStaffOrNonAppUser |                  | OSKAccessService | _getAuthorizedDoorsForStaffOrNonAppUser |                                         | call_expression in core/access: _getAuthorizedDoorsForStaffOrNonAppUser -- inside: OSKAccessService -- calls: Promise.all (functions/src/modules/core/modules/access/services/access.service.ts:661)                                                   | 20260911_080454-00e1d9fd
 663eeb95b0cba5ecb729e357ceda001452b8a8fa | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  220 | createAccess                            |                  | OSKAccessService | createAccess                            |                                         | call_expression in core/access: createAccess -- inside: OSKAccessService -- calls: OSKAccessService.logger.logInfo (functions/src/modules/core/modules/access/services/access.service.ts:220)                                                          | 20260911_080454-00e1d9fd
 664360d870a40fdbb360acc24cf7ad8a1353eb93 | service_method  | functions/src/modules/core/modules/access/services/access.service.ts |  477 | deleteAccessById                        | OSKAccessService |                  |                                         | deleteAccessById                        | service_method in core/access: deleteAccessById -- returns: Promise<boolean | null | undefined> (functions/src/modules/core/modules/access/services/access.service.ts:477)                                                                             | 20260911_080454-00e1d9fd
 68020399aa30699cb93cc7a93ad423bf853b0441 | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  787 | getClearedAccessRights                  |                  | OSKAccessService | getClearedAccessRights                  |                                         | call_expression in core/access: getClearedAccessRights -- inside: OSKAccessService -- calls: accessRights.map (functions/src/modules/core/modules/access/services/access.service.ts:787)                                                               | 20260911_080454-00e1d9fd
 690293af250d3118150fe45020cc26bb59390937 | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  125 | createAccess                            |                  | OSKAccessService | createAccess                            |                                         | call_expression in core/access: createAccess -- inside: OSKAccessService -- calls: OSKAccessService.getClearedAccessRights (functions/src/modules/core/modules/access/services/access.service.ts:125)                                                  | 20260911_080454-00e1d9fd
 6ab85d8d5569dbfe8f8092627a8abbe625663fa8 | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  493 | deleteAccessById                        |                  | OSKAccessService | deleteAccessById                        |                                         | call_expression in core/access: deleteAccessById -- inside: OSKAccessService -- calls: currentUserAccesses.accesses.find (functions/src/modules/core/modules/access/services/access.service.ts:493)                                                    | 20260911_080454-00e1d9fd
 6b9b75125c500a090e21035dd16312c67350a36f | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  175 | createAccess                            |                  | OSKAccessService | createAccess                            |                                         | call_expression in core/access: createAccess -- inside: OSKAccessService -- calls: OSKBuildingAccessService.createOrUpdateBuildingAccessForStaffOrNonAppUser (functions/src/modules/core/modules/access/services/access.service.ts:175)                | 20260911_080454-00e1d9fd
